cif	ciudad	cliente	codigo	cp	direccion	email	id	lat	lng	Nombre	notas	Provincia	Regimen	Telefono
Q5355245A	ELX		03005161	3204	CL.  PEDRO JUAN PERPIÑAN, 83	03005161@edu.gva.es		38,258975	-0,710174	CEIP ALCUDIA		Alacant	Púb.	966913135
Q4601362I	VALÈNCIA		46028430	46006	CL.  PUERTO RICO, 5	46028430@edu.gva.es		39,461832	-0,374414	CEIP ALEJANDRA SOLER		València	Púb.	961207625
Q9655690G	OLIVA		46018281	46780	CL.  ALFADALI, S/N	46018281@edu.gva.es		38,911673	-0,111494	CEIP ALFADALÍ		València	Púb.	962826625
Q9655093D	TAVERNES DE LA VALLDIGNA		46015681	46760	CL.  MESTRE SANSALONI, 3	46015681@edu.gva.es		39,070063	-0,262264	CEIP ALFÀNDEC		València	Púb.	962826615
Q5355133I	BANYERES DE MARIOLA		03002767	3450	CL.  DEL LLAVADOR, 1	03002767@edu.gva.es		38,720878	-0,65654	CEIP ALFONSO INIESTA		Alacant	Púb.	966527835
Q5355464H	NOVELDA		03006694	3660	CL.  ALFONSO X EL SABIO, 19	03006694@edu.gva.es		38,381153	-0,772616	CEIP ALFONSO X EL SABIO		Alacant	Púb.	966908180
Q9655205D	REQUENA		46007165	46340	CL.  MAESTRO ALONSO, 1	46007165@edu.gva.es		39,488907	-1,101165	CEIP ALFONSO X EL SABIO		València	Púb.	962339005
Q9655290F	ALMUSSAFES		46001357	46440	PS.  DEL PARC, S/N	46001357@edu.gva.es		39,293599	-0,413607	CEIP ALMASSAF		València	Púb.	961719060
Q9655106D	VALÈNCIA		46013438	46013	CL.  AMADO GRANELL MESADO, 61	46013438@edu.gva.es		39,455108	-0,361709	CEIP ALMUDENA MUÑOZ		València	Púb.	962566060
Q5355145C	ALTEA - ALTEA LA VELLA		03009543	3590	CR.  DE CALLOSA, S/N	03009543@edu.gva.es		38,628601	-0,042883	CEIP ALTEA LA VELLA		Alacant	Púb.	966870750
Q9655670I	MISLATA		46005521	46920	CL.  FELIPE BELLVER, 37	46005521@edu.gva.es		39,475939	-0,413226	CEIP AMADEO TORTAJADA		València	Púb.	962566460
S0300028H	TORREVIEJA		03017023	3184	AV.  NENÚFARES, S/N	03017023@edu.gva.es		37,99379	-0,690758	CEIP AMANECER		Alacant	Púb.	965290370
Q5350013H	PEGO		03014125	3780	AV.  BLASCO IBÁÑEZ, 5	03014125@edu.gva.es		38,8398	-0,121987	CEIP AMBRA		Alacant	Púb.	966409915
Q9655239C	ALAQUÀS		46000158	46970	CL.  PINCANYA, S/N	46000158@edu.gva.es		39,459142	-0,451083	CEIP AMPARO ALABAU		València	Púb.	962566530
S4600302F	CHESTE		46032445	46380	CL.  MAESTRO NACIONAL RAMÓN CODOÑER, 1	46032445@edu.gva.es		39,494261	-0,689317	CEIP ANA LLUCH		València	Púb.	961808405
Q5355283B	ORIHUELA		03007248	3300	AV.  DE TEODOMIRO, 6	03007248@edu.gva.es		38,082761	-0,945748	CEIP ANDRÉS MANJÓN		Alacant	Púb.	966904245
Q1200332C	BENICARLÓ		12007073	12580	CL.  TOLEDO, S/N	12007073@edu.gva.es		40,420488	0,416746	CEIP ÁNGEL ESTEBAN		Castelló	Púb.	964405610
Q1200315H	VILA-REAL		12006536	12540	AV.  MICHALOVCE, 14	12006536@edu.gva.es		39,943691	-0,092311	CEIP ANGELINA ABAD		Castelló	Púb.	964738850
Q9655118I	VALÈNCIA		46015782	46021	CL.  PUEBLA DE FARNALS, 30	46015782@edu.gva.es		39,469438	-0,351359	CEIP ANGELINA CARNICER		València	Púb.	962565270
Q9650017H	PATERNA		46020534	46980	PZ.  LA YESA, S/N	46020534@edu.gva.es		39,52523	-0,432887	CEIP ANTONIO FERRANDIS		València	Púb.	961207355
Q9655725A	VALÈNCIA		46016051	46022	CL.  PERIS BRELL, 66	46016051@edu.gva.es		39,468286	-0,345694	CEIP ANTONIO GARCÍA LÓPEZ		València	Púb.	961207345
Q5355386C	ELX - TORRELLANO		03005355	3320	CL.  SAN FERNANDO, 2	03005355@edu.gva.es		38,290577	-0,58627	CEIP ANTONIO MACHADO		Alacant	Púb.	966616020
Q5355506F	ELDA		03010326	3600	BD.  EL MELIC, S/N	03010326@edu.gva.es		38,468349	-0,799301	CEIP ANTONIO MACHADO		Alacant	Púb.	966957410
Q9655477I	VALÈNCIA		46017237	46019	PZ.  SAN JERÓNIMO, S/N	46017237@edu.gva.es		39,498006	-0,374265	CEIP ANTONIO MACHADO		València	Púb.	962565280
Q9655349J	TORRENT		46017444	46900	CL.  AZORÍN, 13	46017444@edu.gva.es		39,432323	-0,478281	CEIP ANTONIO MACHADO		València	Púb.	962564810
Q9655086H	XIRIVELLA		46016798	46950	AV.  VIRGEN DE LOS DESAMPARADOS, 24	46016798@edu.gva.es		39,466539	-0,431058	CEIP ANTONIO MACHADO		València	Púb.	962566170
Q5355457B	BENEJÚZAR		03002871	3390	CL.  COMANDANTE BERNABÉ, 43	03002871@edu.gva.es		38,075232	-0,835847	CEIP ANTONIO SEQUEROS		Alacant	Púb.	966904275
Q5355467A	MUTXAMEL		03012104	3110	CL.  BRAÇAL DE MURTERETES, 12	03012104@edu.gva.es		38,420889	-0,444563	CEIP ARBRE BLANC		Alacant	Púb.	965937085
Q0301005E	BENFERRI		03002883	3316	CR.  ABANILLA, 4	03002883@edu.gva.es		38,144902	-0,961617	CEIP ARGENTINA		Alacant	Púb.	966904220
Q9655384G	XÀTIVA		46004735	46800	CL.  JARDÍ CARME PÉREZ, S/N	46004735@edu.gva.es		38,989469	-0,512946	CEIP ATTILIO BRUSCHETTI		València	Púb.	962249705
Q5355124H	ALACANT		03001544	3009	CL.  CERES, 24	03001544@edu.gva.es		38,360049	-0,494025	CEIP AUSIÀS MARCH		Alacant	Púb.	965919030
Q5355452C	BENIDORM		03011550	3502	CL.  VENEZUELA, 5	03011550@edu.gva.es		38,542363	-0,138049	CEIP AUSIÀS MARCH		Alacant	Púb.	966870690
Q5355203J	ELS POBLETS - SETLA		03008526	3779	CL.  REVOLTES, 20	03008526@edu.gva.es		38,850783	0,019312	CEIP AUSIÀS MARCH		Alacant	Púb.	966428845
Q5355353C	LA VALL DE GALLINERA - ALPATRO		03009841	3787	CL.  PURÍSIMA, 28-30	03009841@edu.gva.es		38,820517	-0,261537	CEIP AUSIÀS MARCH		Alacant	Púb.	966406672
Q6255092F	LA VALL D'UIXÓ		12002555	12600	AV.  SUD-OEST, 13	12002555@edu.gva.es		39,820593	-0,234962	CEIP AUSIÀS MARCH		Castelló	Púb.	964738635
Q9655493F	VALÈNCIA		46012537	46024	CL.  PARQUE DE NAZARET, 3	46012537@edu.gva.es		39,450164	-0,332489	CEIP AUSIÀS MARCH		València	Púb.	962566200
Q9655257E	ALBORAIA		46015927	46120	CL.  PINTOR VALERO, 7	46015927@edu.gva.es		39,498892	-0,353923	CEIP AUSIÀS MARCH		València	Púb.	962564830
Q9655060C	PAIPORTA		46006185	46200	CL.  TORRENT, S/N	46006185@edu.gva.es		39,430931	-0,4135	CEIP AUSIÀS MARCH		València	Púb.	961206830
Q9655718F	PICANYA		46015642	46210	AV.  L'HORTA, 2	46015642@edu.gva.es		39,435808	-0,439929	CEIP AUSIÀS MARCH		València	Púb.	962564820
Q9655127J	SAGUNT		46016181	46500	CL.  CRONISTA BRU I VIDAL, S/N	46016181@edu.gva.es		39,684931	-0,276096	CEIP AUSIÀS MARCH		València	Púb.	962617355
Q9655075A	ALZIRA		46000699	46600	AV.  MESTRA JOSEFINA FERNÁNDEZ, 54	46000699@edu.gva.es		39,146757	-0,426493	CEIP AUSIÀS MARCH		València	Púb.	962457520
Q9655250J	ALBALAT DE LA RIBERA		46000298	46687	CL.  LA TORRETA, S/N	46000298@edu.gva.es		39,200899	-0,389926	CEIP AUSIÀS MARCH		València	Púb.	962457505
Q9655125D	RAFELCOFER		46006951	46716	CL.  CAMÍ XÀTIVA, 33	46006951@edu.gva.es		38,931522	-0,168657	CEIP AUSIÀS MARCH		València	Púb.	962826590
Q9655019I	LLUTXENT		46004905	46838	CL.  PUIG AGUT, S/N	46004905@edu.gva.es		38,941105	-0,351202	CEIP AUSIÀS MARCH		València	Púb.	962249710
Q9655671G	MISLATA		46017420	46920	AV.  BUENOS AIRES, S/N	46017420@edu.gva.es		39,478546	-0,4156	CEIP AUSIÀS MARCH		València	Púb.	962566470
Q9655108J	ALDAIA		46000924	46960	AV.  MIGUEL HERNÁNDEZ, 7	46000924@edu.gva.es		39,467617	-0,466109	CEIP AUSIÀS MARCH		València	Púb.	962566840
Q9655710C	PATERNA		46016609	46980	CL.  SAN MATEO, 5	46016609@edu.gva.es		39,506921	-0,437617	CEIP AUSIÀS MARCH		València	Púb.	961205230
Q5355116D	ALACANT		03009683	3015	CL.  BIOLOGO KONRAD LORENZ, 5	03009683@edu.gva.es		38,363792	-0,470628	CEIP AZORÍN		Alacant	Púb.	965932510
Q5355409C	CATRAL		03003735	3158	AV.  AZORÍN, 21	03003735@edu.gva.es		38,161792	-0,802938	CEIP AZORÍN		Alacant	Púb.	965290180
Q0368005E	MONÒVER		03006487	3640	AV.  DE LA ENSEÑANZA, 2	03006487@edu.gva.es		38,438649	-0,850496	CEIP AZORÍN		Alacant	Púb.	966957365
Q5355024J	SANT VICENT DEL RASPEIG		03009351	3690	CL.  DR. MARAÑON, 17	03009351@edu.gva.es		38,389378	-0,520866	CEIP AZORÍN		Alacant	Púb.	965932505
Q5355418D	CALP		03010892	3710	PD.  GARGASINDI, 5	03010892@edu.gva.es		38,648747	0,048049	CEIP AZORÍN		Alacant	Púb.	966870760
Q5355088E	ELX		03009622	3201	CL.  DOCTOR CARO, 84	03009622@edu.gva.es		38,270237	-0,700486	CEIP BAIX VINALOPÓ		Alacant	Púb.	966915125
Q9655501F	PICANYA		46006574	46210	CL.  LA SENYERA, 52	46006574@edu.gva.es		39,433358	-0,430413	CEIP BALADRE		València	Púb.	962564840
Q9655301A	SAGUNT - EL PUERTO SAGUNTO		46007581	46520	CL.  JUAN MARTORELL, 2	46007581@edu.gva.es		39,672	-0,241882	CEIP BALADRE		València	Púb.	962617320
Q0300738B	FINESTRAT		03018076	3509	SC.  5 PARCELA CS-2 BALCÓN DE FINESTRAT, S/N	03018076@edu.gva.es		38,548371	-0,201321	CEIP BALCÓ DE FINESTRAT		Alacant	Púb.	965594760
Q9655494D	VALÈNCIA		46012586	46011	AV.  MALVARROSA, 57	46012586@edu.gva.es		39,479361	-0,328155	CEIP BALLESTER FANDOS		València	Púb.	962566210
Q9655042A	GUADASSUAR		46004577	46610	AV.  DE LA DIPUTACIÓ, 63	46004577@edu.gva.es		39,189375	-0,48026	CEIP BALMES		València	Púb.	962457370
Q6255045D	ONDA		12002038	12200	CL.  VILLAREAL, 42	12002038@edu.gva.es		39,966008	-0,267773	CEIP BALTASAR RULL VILLAR		Castelló	Púb.	964738605
Q9655657F	L'ALCÚDIA		46016488	46250	CL.  JOAN MARTORELL, S/N	46016488@edu.gva.es		39,198825	-0,508375	CEIP BATALLAR		València	Púb.	962980095
Q5355451E	BENIDORM		03010302	3502	CL.  CAPITÁN CORTÉS, 12	03010302@edu.gva.es		38,54663	-0,135388	CEIP BAUTISTA LLEDÓ		Alacant	Púb.	966870695
Q9655022C	BENIGÀNIM		46001886	46830	CL.  MESTRE JOSÉ MOSCARDÓ, S/N	46001886@edu.gva.es		38,941904	-0,447134	CEIP BEATA INÉS		València	Púb.	962249770
Q9655203I	EL REAL DE GANDIA		46007013	46727	CL.  GERMANIES, 84	46007013@edu.gva.es		38,948596	-0,188066	CEIP BEATO CARMELO		València	Púb.	962826675
Q9655065B	XÀTIVA		46004759	46800	CL.  ABEN FERRI, 1	46004759@edu.gva.es		38,983532	-0,53067	CEIP BEATO JACINTO CASTAÑEDA		València	Púb.	962249810
Q5355304F	SANT VICENT DEL RASPEIG		03010648	3690	CL.  MORAIRA, 20	03010648@edu.gva.es		38,406789	-0,527158	CEIP BEC DE L'ÀGUILA		Alacant	Púb.	965937065
Q6255021E	CASTELLÓ DE LA PLANA		12000765	12006	CR.  RIBESALBES, 51-YR	12000765@edu.gva.es		39,98925	-0,102301	CEIP BENADRESSA		Castelló	Púb.	964558900
Q5355053I	ALACANT		03000734	3007	CL.  DOCTOR JUST, 70	03000734@edu.gva.es		38,338719	-0,497166	CEIP BENALÚA		Alacant	Púb.	965919040
Q5355456D	BENIARBEIG		03002895	3778	AV.  VICENT ANDRÉS ESTELLÉS, 2	03002895@edu.gva.es		38,820272	-0,009236	CEIP BENICADIM		Alacant	Púb.	966428800
	VALÈNCIA		46011181	46020	CL.  ARQUITECTO ARNAU, S/N	46011181@edu.gva.es		39,486754	-0,355967	CEIP BENIMACLET		València	Púb.	963618817
Q9655572G	VALÈNCIA - BENIMAMET-BENIFERRI		46009071	46035	CL.  RAFAEL TENES ESCRICH, 56	46009071@edu.gva.es		39,501158	-0,411872	CEIP BENIMÀMET		València	Púb.	962566410
Q5355437D	BENIMANTELL		03003176	3516	CL.  CREUETA, 18	03003176@edu.gva.es		38,677352	-0,210203	CEIP BENIMANTELL		Alacant	Púb.	966870870
Q9655621B	GANDIA		46017419	46702	AV.  DE LES ESCLAVES, 15	46017419@edu.gva.es		38,962921	-0,188865	CEIP BENIPEIXCAR		València	Púb.	962826485
Q9655735J	MANISES		46005120	46940	CL.  TERUEL, 2	46005120@edu.gva.es		39,49473	-0,456525	CEIP BENJAMÍN BENLLOCH		València	Púb.	961205240
Q6255091H	CASTELLÓ DE LA PLANA		12001277	12003	CL.  COLUMBRETES, 5	12001277@edu.gva.es		39,987314	-0,027305	CEIP BERNAT ARTOLA		Castelló	Púb.	964558910
Q5355420J	CALLOSA D'EN SARRIÀ		03012268	3510	CM.  MIRANTBÓ, S/N	03012268@edu.gva.es		38,65455	-0,119562	CEIP BERNAT DE SARRIÀ		Alacant	Púb.	966870785
Q9655466B	CATARROJA		46018977	46470	CL.  MARIANO BENLLIURE, 40	46018977@edu.gva.es		39,406266	-0,400529	CEIP BERTOMEU LLORENS I ROYO		València	Púb.	962564850
Q6255030F	CASTELLÓ DE LA PLANA		12000832	12004	CL.  SANT ROC, 2	12000832@edu.gva.es		39,990627	-0,035899	CEIP BISBE CLIMENT		Castelló	Púb.	964558920
Q9655057I	PUÇOL		46006884	46530	CL.  NICOLÁS FACTOR, 2	46006884@edu.gva.es		39,618673	-0,298948	CEIP BISBE HERVÀS		València	Púb.	961205595
Q6255102C	CASTELLÓ DE LA PLANA		12003699	12003	CL.  PINTOR SOLER BLASCO, 5	12003699@edu.gva.es		39,979611	-0,029043	CEIP BLASCO IBÁÑEZ		Castelló	Púb.	964558930
Q6255175I	LA VALL D'UIXÓ		12004278	12600	CO.  SANT ANTONI, S/N	12004278@edu.gva.es		39,817989	-0,243427	CEIP BLASCO IBÁÑEZ		Castelló	Púb.	964738770
Q9655661H	MASSALAVÉS		46005181	46292	CL.  DIPUTACIÓN, S/N	46005181@edu.gva.es		39,143955	-0,52169	CEIP BLASCO IBÁÑEZ		València	Púb.	961629106
Q9655424A	BENIPARRELL		46001928	46469	CM.  DE SILLA, S/N	46001928@edu.gva.es		39,379529	-0,410614	CEIP BLASCO IBÁÑEZ		València	Púb.	962564860
Q9655283A	ALGEMESÍ		46001141	46680	AV.  PAÍS VALENCIÀ, 3	46001141@edu.gva.es		39,194996	-0,438477	CEIP BLASCO IBÁÑEZ		València	Púb.	962457535
Q9655410J	BENETÚSSER		46001771	46910	PJ.  MAESTRA ROGELIA ANTON, S/N	46001771@edu.gva.es		39,426746	-0,400357	CEIP BLASCO IBÁÑEZ		València	Púb.	961205550
Q9655165J	ONTINYENT		46015629	46870	AV.  VICENTE GIRONÉS, S/N	46015629@edu.gva.es		38,827389	-0,614972	CEIP BONAVISTA		València	Púb.	962919340
Q9655236I	ALAQUÀS		46000171	46970	CL.  BONAVISTA, S/N	46000171@edu.gva.es		39,454445	-0,450954	CEIP BONAVISTA		València	Púb.	961205520
Q6255008B	ALMASSORA		12000224	12550	CL.  CONSTITUCIÓ ESPANYOLA, 52	12000224@edu.gva.es		39,951349	-0,064877	CEIP BOQUERES		Castelló	Púb.	964738320
Q9655457A	CARLET		46002805	46240	CL.  CORBELLA, S/N	46002805@edu.gva.es		39,220917	-0,520086	CEIP BOSCH MARÍN		València	Púb.	962980075
Q5355406I	COCENTAINA		03003772	3820	CL.  MÚSIC JUST SANSALVADOR, 1	03003772@edu.gva.es		38,742996	-0,438423	CEIP BOSCO		Alacant	Púb.	966527510
Q6255087F	VILA-REAL		12004357	12540	AV.  BOTÀNIC CALDUCH, S/N	12004357@edu.gva.es		39,945049	-0,094253	CEIP BOTÀNIC CALDUCH		Castelló	Púb.	964738785
S4600051I	GANDIA		46027000	46701	CL.  BENISSUAI, 25	46027000@edu.gva.es		38,975191	-0,178742	CEIP BOTÀNIC CAVANILLES		València	Púb.	962826700
Q9655573E	VALÈNCIA - BENIMAMET-BENIFERRI		46009061	46035	CM.  VIEJO DE PATERNA, S/N	46009061@edu.gva.es		39,494128	-0,418744	CEIP CAMI DE L'HORTA		València	Púb.	962566400
Q4601100C	BÉTERA		46024096	46117	AV.  DEL PAÍS VALENCIÀ, 86	46024096@edu.gva.es		39,587124	-0,460701	CEIP CAMP DE TURIA		València	Púb.	961606950
S4600026A	RIBA-ROJA DE TÚRIA		46024515	46190	CL.  LUIS SANTÁNGEL, S/N	46024515@edu.gva.es		39,549756	-0,572153	CEIP CAMP DE TÚRIA		València	Púb.	962718165
Q9655092F	VALÈNCIA		46015186	46015	CL.  RASCANYA, 1	46015186@edu.gva.es		39,482592	-0,395875	CEIP CAMPANAR		València	Púb.	961205490
Q5355549F	ALACANT		03001601	3010	PS.  DE CAMPOAMOR, 1	03001601@edu.gva.es		38,355123	-0,486806	CEIP CAMPOAMOR		Alacant	Púb.	965919730
Q5355157H	ALMORADÍ		03002408	3160	CL.  COMUNIDAD VALENCIANA, 64	03002408@edu.gva.es		38,107366	-0,787218	CEIP CANALES Y MARTÍNEZ		Alacant	Púb.	965290130
Q5355028A	ELX		03005151	3202	CL.  VIRGEN DE LA CABEZA, 3	03005151@edu.gva.es		38,27033	-0,694777	CEIP CANDALIX		Alacant	Púb.	966913125
Q9655368J	UTIEL		46008935	46300	AV.  DE LAS ALDEAS, 10	46008935@edu.gva.es		39,564537	-1,199524	CEIP CANÓNIGO MUÑOZ		València	Púb.	962169120
Q5355201D	TEULADA		03008551	3724	CR.  DE MORAIRA A TEULADA (APT. 4), 15	03008551@edu.gva.es		38,690635	0,133477	CEIP CAP D'OR		Alacant	Púb.	965739030
Q5355513B	DOLORES		03004341	3150	CL.  RAMÓN Y CAJAL, 1	03004341@edu.gva.es		38,141105	-0,77224	CEIP CARDENAL BELLUGA		Alacant	Púb.	965290190
Q5355523A	CREVILLENT - SAN FELIPE NERI		03004016	3330	CL.  ALMAZARA, 1	03004016@edu.gva.es		38,178392	-0,79741	CEIP CARDENAL BELLUGA		Alacant	Púb.	966616045
Q6255006F	ALMASSORA		12000236	12550	AV.  L'ESTRET, 1	12000236@edu.gva.es		39,942721	-0,065274	CEIP CARDENAL CISNEROS		Castelló	Púb.	964738325
Q1200330G	BORRIANA		12007139	12530	CL.  LA HAIA, 11	12007139@edu.gva.es		39,879808	-0,078149	CEIP CARDENAL TARANCÓN		Castelló	Púb.	964738875
Q6255104I	CASTELLÓ DE LA PLANA		12003547	12005	CL.  MARÍA TERESA GONZÁLEZ, 3	12003547@edu.gva.es		39,977202	-0,03974	CEIP CARLES SALVADOR		Castelló	Púb.	964558940
Q9655102C	VALÈNCIA		46017225	46020	CL.  POETA ALTET, 19	46017225@edu.gva.es		39,487667	-0,363386	CEIP CARLES SALVADOR		València	Púb.	962564870
Q9655402G	BARXETA		46001576	46667	CL.  NOU, S/N	46001576@edu.gva.es		39,020684	-0,418183	CEIP CARLES SALVADOR		València	Púb.	962249765
Q5355123J	ALACANT		03001571	3014	CL.  ALONSO CANO, 19	03001571@edu.gva.es		38,364653	-0,480233	CEIP CARLOS ARNICHES		Alacant	Púb.	965919740
Q6255251H	VILA-REAL		12003456	12540	CL.  ONDA, 92	12003456@edu.gva.es		39,942688	-0,10672	CEIP CARLOS SARTHOU CARRERES		Castelló	Púb.	964738745
Q6255011F	ARTANA		12000352	12527	PZ.  DE LA GENERALITAT, S/N	12000352@edu.gva.es		39,889511	-0,256078	CEIP CARME MARTIN		Castelló	Púb.	964738335
Q9655284I	ALGEMESÍ		46015095	46680	CL.  DOCTOR FERRAN, S/N	46015095@edu.gva.es		39,193341	-0,444539	CEIP CARME MIQUEL		València	Púb.	962457350
Q5355262F	PEGO		03012311	3780	AV.  DE FONTILLES, 1	03012311@edu.gva.es		38,84196	-0,112829	CEIP CAROLINA SALA		Alacant	Púb.	966409900
Q9655105F	ALMÀSSERA		46001311	46132	CL.  CARRAIXET, 2	46001311@edu.gva.es		39,512929	-0,357718	CEIP CARRAIXET		València	Púb.	962566900
Q9655332F	SUECA		46008182	46410	CL.  LES ESCOLES, S/N	46008182@edu.gva.es		39,205197	-0,309286	CEIP CARRASQUER		València	Púb.	961719035
Q6255034H	CASTELLÓ DE LA PLANA		12000844	12004	CL.  MESTRE CABALLERO, 33	12000844@edu.gva.es		39,994301	-0,040255	CEIP CASTÀLIA		Castelló	Púb.	964739580
Q5355469G	MURLA		03006566	3792	PD.  GARROFERAL, S/N	03006566@edu.gva.es		38,760132	-0,080458	CEIP CASTELL DEL POP		Alacant	Púb.	966409940
Q4601012J	VALÈNCIA - CASTELLAR-OLIVERAL		46022993	46026	CL.  ESCULTOR FEDERICO SIURANA, S/N	46022993@edu.gva.es		39,429671	-0,366862	CEIP CASTELLAR-OLIVERAL		València	Púb.	962566810
Q9655660J	MARINES		46005171	46163	CL.  OLOCAU, S/N	46005171@edu.gva.es		39,676781	-0,562309	CEIP CASTILLO DEL REAL		València	Púb.	962718035
Q6255159C	ALFONDEGUILLA		12000194	12609	CL.  LA VALL D'UIXÓ, S/N	12000194@edu.gva.es		39,83399	-0,272598	CEIP CASTRO		Castelló	Púb.	964738310
Q5350005D	LA VALL DE LAGUAR - FLEIX		03013431	3791	CL.  ERA DEL POBLE, 1	03013431@edu.gva.es		38,778778	-0,109874	CEIP CAVALL VERD		Alacant	Púb.	966545815
Q9655161I	VALÈNCIA		46012641	46011	AV.  MALVARROSA, 2	46012641@edu.gva.es		39,475318	-0,327229	CEIP CAVITE-ISLA DE HIERRO		València	Púb.	962566630
Q6255094B	CASTELLÓ DE LA PLANA		12004254	12005	AV.  DE CHATELLERAULT, S/N	12004254@edu.gva.es		39,977556	-0,03903	CEIP CENSAL		Castelló	Púb.	964738765
Q5355291E	SANTA POLA		03010031	3130	CL.  PINTOR SOROLLA, 4	03010031@edu.gva.es		38,199084	-0,555413	CEIP CERVANTES		Alacant	Púb.	966915135
Q5355179B	ALBATERA		03010107	3340	CL.  CALVARIO, 51	03010107@edu.gva.es		38,18286	-0,87488	CEIP CERVANTES		Alacant	Púb.	966616085
Q5355370G	IBI		03006050	3440	CL.  SAN JOSÉ (APT. 441), 44	03006050@edu.gva.es		38,625453	-0,57186	CEIP CERVANTES		Alacant	Púb.	966527515
Q5355285G	SAX		03008460	3630	CL.  AZORÍN, 1	03008460@edu.gva.es		38,535366	-0,818671	CEIP CERVANTES		Alacant	Púb.	966957445
Q5355474G	MONÒVER		03006499	3640	CL.  SATURNINO CERDÀ, 8	03006499@edu.gva.es		38,434724	-0,836924	CEIP CERVANTES		Alacant	Púb.	966957335
Q5355583E	DÉNIA		03004120	3700	CL.  MONCADA, S/N	03004120@edu.gva.es		38,837921	0,102501	CEIP CERVANTES		Alacant	Púb.	966428810
Q6255106D	CASTELLÓ DE LA PLANA		12000819	12004	CL.  CONCEPCIÓN ARENAL, 2	12000819@edu.gva.es		39,98909	-0,041392	CEIP CERVANTES		Castelló	Púb.	964558960
Q6255195G	NULES		12001940	12520	CL.  SANTA NATALIA, S/N	12001940@edu.gva.es		39,855342	-0,159892	CEIP CERVANTES		Castelló	Púb.	964738585
Q6255253D	VILA-REAL		12002853	12540	CL.  JOANOT MARTORELL, 7	12002853@edu.gva.es		39,938213	-0,09425	CEIP CERVANTES		Castelló	Púb.	964738700
Q6255176G	LA VALL D'UIXÓ		12002580	12600	CL.  BALMES, S/N	12002580@edu.gva.es		39,827415	-0,233985	CEIP CERVANTES		Castelló	Púb.	964738650
Q4668009F	VALÈNCIA		46012343	46008	CL.  GUILLEM DE CASTRO, 153	46012343@edu.gva.es		39,477103	-0,384087	CEIP CERVANTES		València	Púb.	961205505
Q9655634E	GODELLA		46004498	46110	CL.  CERVANTES, S/N	46004498@edu.gva.es		39,522805	-0,420812	CEIP CERVANTES		València	Púb.	962566920
Q9655144E	ALBORAIA		46000444	46120	CL.  PADRE LUIS NAVARRO, 5	46000444@edu.gva.es		39,502435	-0,347786	CEIP CERVANTES		València	Púb.	961205250
Q9655016E	LA POBLA DE FARNALS		46006744	46139	CL.  INMACULADA, 15	46006744@edu.gva.es		39,579907	-0,328168	CEIP CERVANTES		València	Púb.	962566910
